,Unnamed: 0,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
1021,22,"Whoopi Goldberg, Frank Langella, Dennis Farina, Richard Jenkins",1 win & 2 nominations.,,USA,07 Dec 1999,Steve Rash,,"Comedy, Sport","English, Russian",,"Coincidences lead to the NBA team, New York Knicks, gets it's loudest fan, Eddie W.Goldberg, as coach. Season victory?Let us see what happens.",https://m.media-amazon.com/images/M/MV5BMGE0YzJkNjUtOGU4Ny00Njc0LTg1ZmItNjA5ZGVkZGVhYzk5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Hollywood Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}]",31 May 1996,True,100 min,Eddie,movie,,"Steve Zacharias (story), Jeff Buhai (story), Jon Connolly (story), David Loucka (story), Jon Connolly (screenplay), David Loucka (screenplay), Eric Champnella (screenplay), Keith Mitchell (screenplay), Steve Zacharias (screenplay), Jeff Buhai (screenplay)",1996,tt0116168,5.2,"8,844",
1022,23,"Eddie Murphy, Tatyana Ali, Billie Allen, Clebert Ford",,,USA,07 Sep 2004,Robert Townsend,,"Documentary, Comedy",English,54.0,Eddie Murphy in a stand-up performance recorded live. For an hour and a half he talks about his favourite subjects: sex and women.,https://m.media-amazon.com/images/M/MV5BOWEwYTk4YTgtZGVjNi00MmI0LTkwOTItOWUxYzBlN2YwZWFkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",18 Dec 1987,True,93 min,Eddie Murphy Raw,movie,,"Eddie Murphy (stand-up material), Eddie Murphy (opening sketch), Keenen Ivory Wayans (opening sketch)",1987,tt0092948,7.7,"17,420",
1023,24,"Eddie Murphy, Tatyana Ali, Billie Allen, Clebert Ford",,,USA,07 Sep 2004,Robert Townsend,,"Documentary, Comedy",English,54.0,Eddie Murphy in a stand-up performance recorded live. For an hour and a half he talks about his favourite subjects: sex and women.,https://m.media-amazon.com/images/M/MV5BOWEwYTk4YTgtZGVjNi00MmI0LTkwOTItOWUxYzBlN2YwZWFkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",18 Dec 1987,True,93 min,Eddie Murphy Raw,movie,,"Eddie Murphy (stand-up material), Eddie Murphy (opening sketch), Keenen Ivory Wayans (opening sketch)",1987,tt0092948,7.7,"17,420",
1024,25,"Mel Gibson, Ray Winstone, Danny Huston, Bojana Novakovic",1 nomination.,"$43,290,977","UK, USA",11 May 2010,Martin Campbell,,"Crime, Drama, Mystery, Thriller","Latin, French, English",55.0,"As homicide detective Thomas Craven investigates the death of his activist daughter, he uncovers not only her secret life, but a corporate cover-up and government collusion that attracts an agent tasked with cleaning up the evidence.",https://m.media-amazon.com/images/M/MV5BMTczMDk5MTg5Ml5BMl5BanBnXkFtZTcwOTYyMjE5Mg@@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",29 Jan 2010,True,117 min,Edge of Darkness,movie,,"William Monahan (screenplay), Andrew Bovell (screenplay), Troy Kennedy-Martin (television series)",2010,tt1226273,6.6,"85,902",
1025,26,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton",11 wins & 37 nominations.,"$77,121,429","USA, Canada",07 Oct 2014,Doug Liman,,"Action, Sci-Fi",English,71.0,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",https://m.media-amazon.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",06 Jun 2014,True,113 min,Edge of Tomorrow,movie,,"Christopher McQuarrie (screenplay by), Jez Butterworth (screenplay by), John-Henry Butterworth (screenplay by), Hiroshi Sakurazaka (based on the novel ""All You Need Is Kill"" by)",2014,tt1631867,7.9,"557,046",
1028,29,"Paul Walker, Bruce Greenwood, Moon Bloodgood, Wendy Crewson",2 wins & 2 nominations.,"$81,593,527",USA,20 Jun 2006,Frank Marshall,,"Adventure, Drama, Family",English,64.0,Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.,https://m.media-amazon.com/images/M/MV5BMjExMjAwNzE0N15BMl5BanBnXkFtZTYwMDY4NDk2._V1_SX300.jpg,Buena Vista Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",17 Feb 2006,True,120 min,Eight Below,movie,,"David DiGilio (screenplay), Toshirô Ishidô (film Nankyoku Monogatari), Koreyoshi Kurahara (film Nankyoku Monogatari), Tatsuo Nogami (film Nankyoku Monogatari), Susumu Saji (film Nankyoku Monogatari)",2006,tt0397313,7.3,"57,326",
1030,31,"John Wayne, Robert Mitchum, James Caan, Charlene Holt",,,USA,21 Mar 2000,Howard Hawks,,"Drama, Romance, Western","English, Spanish",85.0,"Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old Indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.",https://m.media-amazon.com/images/M/MV5BY2FhMzhlYzMtZjNlYi00NTU2LWEyNjAtZDE2YjNlZjljMmQ4L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Paramount Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",12 Jun 1967,True,126 min,El Dorado,movie,,"Leigh Brackett (screenplay), Harry Brown (novel)",1967,tt0061619,7.6,"22,116",
1031,32,"Will Ferrell, James Caan, Bob Newhart, Edward Asner",2 wins & 7 nominations.,"$173,400,000",USA,16 Nov 2004,Jon Favreau,,"Comedy, Family, Fantasy, Romance",English,64.0,"After discovering he is a human, a man raised as an elf at the North Pole decides to travel to New York City to locate his real father.",https://m.media-amazon.com/images/M/MV5BMzUxNzkzMzQtYjIxZC00NzU0LThkYTQtZjNhNTljMTA1MDA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,New Line Cinema,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",07 Nov 2003,True,97 min,Elf,movie,,David Berenbaum,2003,tt0319343,6.9,"194,437",
1033,34,"Orlando Bloom, Kirsten Dunst, Susan Sarandon, Alec Baldwin",2 wins & 4 nominations.,"$26,838,389",USA,07 Feb 2006,Cameron Crowe,,"Comedy, Drama, Romance",English,45.0,"During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",https://m.media-amazon.com/images/M/MV5BZjM5ZmNlZTAtMzljNC00NTk3LTlhMTAtNTY3ZWNmMmVmOWJjXkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",14 Oct 2005,True,123 min,Elizabethtown,movie,,Cameron Crowe,2005,tt0368709,6.4,"65,010",
1035,36,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga",1 win & 10 nominations.,"$90,800,000",USA,17 Dec 2013,Neill Blomkamp,,"Action, Drama, Sci-Fi","English, Spanish, French, Afrikaans, Ukrainian",61.0,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",https://m.media-amazon.com/images/M/MV5BNDc2NjU0MTcwNV5BMl5BanBnXkFtZTcwMjg4MDg2OQ@@._V1_SX300.jpg,TriStar Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",09 Aug 2013,True,109 min,Elysium,movie,,Neill Blomkamp,2013,tt1535108,6.6,"400,557",
1038,39,"Dane Cook, Jessica Simpson, Dax Shepard, Andy Dick",2 nominations.,"$28,364,748",USA,16 Jan 2007,Greg Coolidge,,"Comedy, Romance",English,36.0,"A slacker competes with a repeat winner for the ""Employee of the Month"" title at work, in order to gain the affections of a new female employee.",https://m.media-amazon.com/images/M/MV5BMTc4NTc2NDI5OF5BMl5BanBnXkFtZTcwMDQ4NzYzMQ@@._V1_SX300.jpg,Lionsgate,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",06 Oct 2006,True,103 min,Employee of the Month,movie,,"Don Calame (screenplay), Chris Conroy (screenplay), Greg Coolidge (screenplay), Don Calame (story), Chris Conroy (story)",2006,tt0424993,5.5,"42,539",
1041,42,"Sean Astin, Brendan Fraser, Pauly Shore, Megan Ward",1 win & 1 nomination.,,USA,15 May 2001,Les Mayfield,,Comedy,English,25.0,"When they find a frozen caveman in their back yard, two high school outcasts thaw him and introduce him to modern life while he in turn gets them to actually enjoy life.",https://m.media-amazon.com/images/M/MV5BZjc5OGIzYTUtYjFkYy00NDcxLTgwMzUtNzRlMTJmZjZkZDQ4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,Hollywood Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",22 May 1992,True,88 min,Encino Man,movie,,"George Zaloom (story), Shawn Schepps (story), Shawn Schepps (screenplay)",1992,tt0104187,5.8,"35,377",
1042,43,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak",1 win & 7 nominations.,,USA,18 Apr 2000,Peter Hyams,,"Action, Fantasy, Horror, Thriller","English, Latin",33.0,"At the end of the century, Satan visits New York in search of a bride. It's up to an ex-cop who now runs an elite security outfit to stop him.",https://m.media-amazon.com/images/M/MV5BYWM3MTMwYTYtNTVmOC00NWU2LWJjNmMtY2YwMDM4NWM4NDhiXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",24 Nov 1999,True,122 min,End of Days,movie,,Andrew W. Marlowe,1999,tt0146675,5.8,"101,414",
1043,44,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick",3 wins & 10 nominations.,"$39,100,000",USA,22 Jan 2013,David Ayer,,"Action, Crime, Drama, Thriller","English, Spanish",68.0,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",https://m.media-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_SX300.jpg,Open Road Films,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",21 Sep 2012,True,109 min,End of Watch,movie,,David Ayer,2012,tt1855199,7.6,"214,209",
1044,45,"Asa Butterfield, Harrison Ford, Hailee Steinfeld, Abigail Breslin",1 win & 6 nominations.,"$61,656,849",USA,11 Feb 2014,Gavin Hood,,"Action, Adventure, Fantasy, Sci-Fi",English,51.0,"Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.",https://m.media-amazon.com/images/M/MV5BMjAzMzI5OTgzMl5BMl5BanBnXkFtZTgwMTU5MTAwMDE@._V1_SX300.jpg,Summit Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",01 Nov 2013,True,114 min,Ender's Game,movie,,"Gavin Hood (screenplay by), Orson Scott Card (based on the book Ender's Game by)",2013,tt1731141,6.6,"213,989",
1046,47,"Jude Law, Ed Harris, Rachel Weisz, Joseph Fiennes",4 nominations.,"$50,507,533","Ireland, UK, France, Germany, USA",14 Aug 2001,Jean-Jacques Annaud,,"Drama, History, War","English, German, Russian",53.0,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,https://m.media-amazon.com/images/M/MV5BYWFlY2E3ODQtZWNiNi00ZGU4LTkzNWEtZTQ2ZTViMWRhYjIzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",16 Mar 2001,True,131 min,Enemy at the Gates,movie,,"Jean-Jacques Annaud, Alain Godard",2001,tt0215750,7.6,"227,744",
1047,48,"Will Smith, Gene Hackman, Jon Voight, Lisa Bonet",5 wins & 16 nominations.,,USA,15 Jun 1999,Tony Scott,,"Action, Thriller",English,67.0,A lawyer becomes a target by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a serious politically motivated crime.,https://m.media-amazon.com/images/M/MV5BMWI0Y2NhMzMtYTE5ZS00MDlhLTg0ZjEtMjAwZmEwNTc0ODc2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Buena Vista Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",20 Nov 1998,True,132 min,Enemy of the State,movie,,David Marconi,1998,tt0120660,7.3,"217,121",
1048,49,"Jennifer Lopez, Billy Campbell, Tessa Allen, Juliette Lewis",4 nominations.,"$39,177,215",USA,08 Oct 2002,Michael Apted,,"Crime, Drama, Thriller",English,25.0,"After running away fails, a terrified woman empowers herself in order to battle her abusive husband.",https://m.media-amazon.com/images/M/MV5BZTViYzM3MWYtM2IzMC00NjMwLWE2ZDQtMTQ1YmE5NGE0MTU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",24 May 2002,True,115 min,Enough,movie,,Nicholas Kazan,2002,tt0278435,5.7,"37,016",
1049,50,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri",1 win.,,"Hong Kong, USA",18 May 2004,Robert Clouse,,"Action, Crime, Drama, Thriller","English, Cantonese",83.0,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.,https://m.media-amazon.com/images/M/MV5BNGZiMTkyNzQtMDdmZi00ZDNkLWE4YTAtZGNlNTIzYzQyMGM2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Warner Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",19 Aug 1973,True,102 min,Enter the Dragon,movie,,Michael Allin,1973,tt0070034,7.7,"90,030",
1050,51,"Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara",,,USA,29 Sep 2015,Doug Ellin,,Comedy,English,38.0,"Movie star Vincent Chase, together with his boys Eric, Turtle, and Johnny, are back - and back in business with super agent-turned-studio head Ari Gold on a risky project that will serve as Vince's directorial debut.",https://m.media-amazon.com/images/M/MV5BMGY5ZmE4ZWItYzU0YS00ZDczLThiMzctMzQyYjJkNGYzNGQ2XkEyXkFqcGdeQXVyMzI2MTMxNTM@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",03 Jun 2015,True,104 min,Entourage,movie,,"Doug Ellin (screenplay), Doug Ellin (story), Rob Weiss (story), Doug Ellin (based on characters created by)",2015,tt1674771,6.6,"72,494",
1051,52,"Sean Connery, Catherine Zeta-Jones, Ving Rhames, Will Patton",4 wins & 6 nominations.,,"USA, UK, Germany",23 Nov 1999,Jon Amiel,,"Action, Crime, Romance, Thriller",English,54.0,An insurance agent is sent by her employer to track down and help capture an art thief.,https://m.media-amazon.com/images/M/MV5BODgyMmE3YWQtNDE4Yy00ODExLThmNDUtYmM4ZTk2ZTVjNDEzL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",30 Apr 1999,True,113 min,Entrapment,movie,,"Ronald Bass (story), Michael Hertzberg (story), Ronald Bass (screenplay), William Broyles Jr. (screenplay)",1999,tt0137494,6.3,"101,760",
1052,53,"Blake Anderson, Aziz Ansari, Allison Bills, Jim Conroy",2 wins & 21 nominations.,"$107,515,297",USA,20 Sep 2013,Chris Wedge,,"Animation, Adventure, Family, Fantasy, Mystery, Thriller",English,52.0,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group of characters in order to save their world -- and ours.,https://m.media-amazon.com/images/M/MV5BMTgyNDYwNzE5NV5BMl5BanBnXkFtZTcwMzUyODM5OA@@._V1_SX300.jpg,Twentieth Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",24 May 2013,True,102 min,Epic,movie,,"James V. Hart (screenplay), William Joyce (screenplay), Daniel Shere (screenplay), Tom J. Astle (screenplay), Matt Ember (screenplay), William Joyce (story), James V. Hart (story), Chris Wedge (story), William Joyce (Leafmen characters from book ""The Leaf Men and the Brave Good Bugs"")",2013,tt0848537,6.7,"96,390",
1053,54,"Kal Penn, Adam Campbell, Jennifer Coolidge, Jayma Mays",2 wins & 3 nominations.,"$39,666,075",USA,22 May 2007,"Jason Friedberg, Aaron Seltzer",,"Adventure, Comedy",English,17.0,"A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.",https://m.media-amazon.com/images/M/MV5BMTA3NDM5ODU3NzleQTJeQWpwZ15BbWU3MDgyMjgyNDE@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '2.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '2%'}, {'Source': 'Metacritic', 'Value': '17/100'}]",26 Jan 2007,True,86 min,Epic Movie,movie,,"Jason Friedberg, Aaron Seltzer",2007,tt0799949,2.4,"98,805",
1054,55,"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle",1 win & 6 nominations.,,"USA, UK, Hungary",23 May 2006,Stefen Fangmeier,,"Action, Adventure, Family, Fantasy",English,38.0,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.",https://m.media-amazon.com/images/M/MV5BNzMyMGI1N2UtNzc5YS00OGNkLTg1OTktMTNkMmY2Zjk1NTQxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Metacritic', 'Value': '38/100'}]",15 Dec 2006,True,104 min,Eragon,movie,,"Peter Buchman (screenplay), Christopher Paolini (novel)",2006,tt0449010,5.1,"118,240",
1056,57,"Jack Nance, Charlotte Stewart, Allen Joseph, Jeanne Bates",2 wins & 1 nomination.,,USA,06 Jun 2005,David Lynch,,Horror,English,87.0,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",https://m.media-amazon.com/images/M/MV5BMDExYzg5YjQtMzE0Yy00OWJjLThiZTctMWI5MzhjM2RmNjA4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Libra Films,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",03 Feb 1978,True,89 min,Eraserhead,movie,,David Lynch,1977,tt0074486,7.4,"92,930",
1058,59,,,,,,,Movie not found!,,,,,,,,,,False,,Erinnerungen an die Zukunft,,,,,,,,
1059,60,"Jim Varney, Victoria Racimo, John Vernon, Iron Eyes Cody",1 nomination.,,USA,03 Sep 2002,John R. Cherry III,,"Comedy, Family",English,24.0,"Ernest, a lovable loser who works as a summer camp handyman and dreams of becoming a guidance councilor, must find a way to inspire a group of juvenile delinquents as well as stop a shady strip mining company from closing the camp.",https://m.media-amazon.com/images/M/MV5BNjQxOTFmNmItMDk1Ni00NTk3LTk0N2MtNmU4OGE5NDIzYjJmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",22 May 1987,True,92 min,Ernest Goes to Camp,movie,,"John R. Cherry III (screenplay), Coke Sams (screenplay), Steve Leasure (additional dialogue), Glenn Petach (additional dialogue)",1987,tt0092974,5.5,"10,350",
1060,61,"Jim Varney, Gailard Sartain, Bill Byrge, Barbara Tyson",,,USA,03 Sep 2002,John R. Cherry III,,"Comedy, Crime, Family",English,40.0,"Bumbling Ernest P. Worrell is assigned to jury duty, where a crooked lawyer notices a resemblance with crime boss Mr. Nash, and arranges a switch. Nash assumes Ernest's job as a bank ...",https://m.media-amazon.com/images/M/MV5BYTU3MzYyYTEtYWI1NS00MTJlLWE3NDMtYzI4ODUzMGY1ODk1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Touchstone Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",06 Apr 1990,True,81 min,Ernest Goes to Jail,movie,,Charlie Cohen,1990,tt0099512,5.4,"8,472",
1061,62,"Jim Varney, Douglas Seale, Oliver Clark, Noelle Parker",,,USA,03 Sep 2002,John R. Cherry III,,"Comedy, Family, Fantasy",English,44.0,Ernest helps Santa Claus as he searches for his successor.,https://m.media-amazon.com/images/M/MV5BMjI3ZGE5MTMtOTk4Ny00ZWUyLTgyMzctZjRkZDMzZWY3ZWFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",11 Nov 1988,True,95 min,Ernest Saves Christmas,movie,,"Ed Turner (story), B. Kline (screenplay), Ed Turner (screenplay)",1988,tt0095107,5.6,"9,416",
1062,63,"Jim Varney, Eartha Kitt, Austin Nagler, Shay Astar",,,USA,03 Sep 2002,John R. Cherry III,,"Comedy, Family, Fantasy",English,38.0,"Ernest accidentally unleashes an ugly troll that plots to transform children into wooden dolls in the town of Briarville, Missouri.",https://m.media-amazon.com/images/M/MV5BZDA4MzIxY2EtYzQxMy00MmJkLWI1ODktNzFjMDM0Yzg4YjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Touchstone Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",11 Oct 1991,True,91 min,Ernest Scared Stupid,movie,,"John R. Cherry III (story), Coke Sams (story), Charles Gale (screenplay), Coke Sams (screenplay)",1991,tt0101821,5.7,"10,084",
1063,64,"Brendan Fraser, Rob Corddry, Ricky Gervais, Jonathan Morgan Heit",1 win.,"$54,700,000","USA, Canada",04 Jun 2013,Cal Brunker,,"Animation, Adventure, Comedy, Family, Sci-Fi",English,35.0,Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,https://m.media-amazon.com/images/M/MV5BMTQyMTk4NjkyMl5BMl5BanBnXkFtZTcwMzA2OTY4OA@@._V1_SX300.jpg,The Weinstein Co.,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",15 Feb 2013,True,89 min,Escape From Planet Earth,movie,,"Bob Barlen, Cal Brunker, Stephen Fry (additional writing by), David Javerbaum (additional writing by), Dan Mazer (additional writing by), Tony Leech (based on a story by), Cory Edwards (based on a story by)",2013,tt0765446,5.9,"23,585",
1064,65,"Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau",,,USA,09 Mar 1999,Don Siegel,,"Biography, Crime, Drama, Thriller",English,76.0,"Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possible successful attempt at escaping from one of the most infamous prisons in the world.",https://m.media-amazon.com/images/M/MV5BNDQ3MzNjMDItZjE0ZS00ZTYxLTgxNTAtM2I4YjZjNWFjYjJlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Paramount Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",22 Jun 1979,True,112 min,Escape from Alcatraz,movie,,"J. Campbell Bruce (book), Richard Tuggle (screenplay)",1979,tt0079116,7.6,"106,930",
